"","District Name","County","Region","mean_enrollment","mean_attendence","mean_chronic_absenteesim","mean_expulsions","mean_out_of_school_suspensions","mean_in_school_suspensions","mean_total_students_discipline"
"224","Delphos City","Van Wert","Region 6",243.5,94.8,12.1,0,7,5,12
"225","Discovery Academy","Lucas","Region 1",341,90.7,33,0,96,0,96
"226","Dohn Community","Hamilton","Region 13",688,47.5,97.4,0,0,0,0
"227","Dover City","Tuscarawas","Region 12",536,95.64,6.42,0,0,0,0
"228","Dublin City","Delaware","Region 11",676.333333333333,95.8,4.6,0,0,3.33333333333333,3.33333333333333
"229","Dublin City","Franklin","Region 11",866.333333333333,95.26,8.64666666666667,0,9.98,25.4666666666667,35.4466666666667
"230","Dublin City","Union","Region 11",687,96.2,4.2,0,0,0,0
"231","Eagle Learning Center","Lucas","Region 1",71,40.1,92,0,0,0,0
"232","Early College Academy","Franklin","Region 11",161,42.8,98.8,0,0,0,0
"233","East Academy","Cuyahoga","Region 3",306,85.2,55.7,0,49,0,49
"234","East Branch Preparatory AcademydbaWright Preparatory Academy","Stark","Region 9",136,86.9,47.4,0,53,0,53
"235","East Bridge Academy of Excellence","Franklin","Region 11",63,90.5,36.3,0,0,0,0
"236","East Cleveland City School District","Cuyahoga","Region 3",321.5,89.4333333333333,38.0166666666667,0,20.9166666666667,33.1666666666667,54.0833333333333
"237","East Clinton Local","Clinton","Region 14",308.75,93.9,13.4,0,7.75,21.25,29
"238","East Guernsey Local","Guernsey","Region 12",338.666666666667,93.2,19.4,0,0,25.2666666666667,25.2666666666667
"239","East Holmes Local","Holmes","Region 12",198.25,96.525,2.5,0,0,0,0
"240","East Knox Local","Knox","Region 7",446.5,94.7,9.45,0,5.5,7,12.5
"241","East Liverpool City","Columbiana","Region 5",425.6,90.52,35.76,0,24.86,8.8,33.66
"242","East Muskingum Local","Guernsey","Region 12",117,95.9,4.1,0,0,0,0
"243","East Muskingum Local","Muskingum","Region 12",399.8,94.94,9.88,0,2.2,11.5,13.7
"244","East Palestine City","Columbiana","Region 5",356,92.5,19.2666666666667,0,5,13.6666666666667,18.6666666666667
