,GEOID,District_Name,District_Name,population_number,school_no_poverty_num,school_poverty_num,less_than_10k,one_hunna_and_up,ten_to_19k,thirtyfive_to_49k,twenty_to_35k
540,3905027,"Garaway Local School District, Ohio",Garaway Local ,10634,2174,106,57,750,104,403,252
541,3905028,"Indian Valley Local School District, Ohio",Indian Valley Local ,10260,1583,386,85,670,151,561,578
542,3905029,"Strasburg-Franklin Local School District, Ohio",Strasburg-Franklin Local ,4425,752,85,58,391,53,250,125
543,3905030,"Tuscarawas Valley Local School District, Ohio",Tuscarawas Valley Local ,9484,1901,146,51,1167,125,479,305
544,3905032,"Fairbanks Local School District, Ohio",Fairbanks Local ,6408,1694,109,43,1026,51,121,119
545,3905033,"North Union Local School District, Ohio",North Union Local ,7998,1476,133,65,870,162,363,351
546,3905035,"Crestview Local School District (Van Wert County), Ohio",Crestview Local ,4258,890,52,63,480,67,220,135
547,3905039,"Vinton County Local School District, Ohio",Vinton County Local ,12532,1893,747,163,677,358,462,684
548,3905041,"Carlisle Local School District, Ohio",Carlisle Local ,9895,2023,178,56,1058,75,485,210
549,3905042,"Springboro Community City School District, Ohio",Springboro Community City ,30391,9441,252,187,6224,45,358,544
550,3905043,"Kings Local School District, Ohio",Kings Local ,27981,7280,330,56,4228,250,899,401
551,3905044,"Little Miami Local School District, Ohio",Little Miami Local ,30497,8566,201,129,5014,372,1032,369
552,3905045,"Mason City School District, Ohio",Mason City ,50162,14996,445,135,8743,451,819,738
553,3905046,"Wayne Local School District, Ohio",Wayne Local ,9035,2258,48,75,1187,111,213,211
554,3905048,"Fort Frye Local School District, Ohio",Fort Frye Local ,6341,1472,223,52,362,174,344,300
555,3905049,"Frontier Local School District, Ohio",Frontier Local ,4609,825,119,44,190,157,247,293
556,3905051,"Wolf Creek Local School District, Ohio",Wolf Creek Local ,3294,692,75,34,262,118,163,182
557,3905053,"Chippewa Local School District, Ohio",Chippewa Local ,9096,1940,79,87,1164,231,387,358
558,3905054,"Dalton Local School District, Ohio",Dalton Local ,6807,1514,331,58,506,104,157,225
559,3905055,"Green Local School District (Wayne County), Ohio",Green Local ,6601,1319,185,62,679,89,321,198
560,3905056,"Norwayne Local School District, Ohio",Norwayne Local ,7597,1603,257,32,563,176,368,255
561,3905058,"Southeast Local School District (Holmes, Stark, and Wayne Counties); Ohio",Southeast Local ,17267,3316,624,221,1015,133,444,433
562,3905059,"Triway Local School District, Ohio",Triway Local ,12057,2149,429,105,1057,241,436,520
563,3905061,"Edgerton Local School District, Ohio",Edgerton Local ,3952,925,91,28,250,95,219,267
564,3905062,"Edon Northwest Local School District, Ohio",Edon Northwest Local ,2989,635,55,29,195,83,87,134
565,3905063,"Millcreek-West Unity Local School District, Ohio",Millcreek-West Unity Local ,3466,698,185,7,227,72,134,115
566,3905064,"North Central Local School District, Ohio",North Central Local ,4060,687,164,50,278,105,232,105
567,3905065,"Stryker Local School District, Ohio",Stryker Local ,2714,559,75,9,191,32,177,99
568,3905067,"Eastwood Local School District, Ohio",Eastwood Local ,8276,1723,269,52,806,75,323,334
569,3905068,"Elmwood Local School District, Ohio",Elmwood Local ,6106,1250,134,57,599,107,186,232
570,3905069,"Lake Local School District (Ottawa and Wood Counties), Ohio",Lake Local ,11180,2324,274,161,1184,206,518,523
571,3905070,"North Baltimore Local School District, Ohio",North Baltimore Local ,4204,914,173,42,275,89,134,166
572,3905071,"Northwood Local School District, Ohio",Northwood Local ,5121,1173,112,78,452,15,252,100
573,3905072,"Otsego Local School District, Ohio",Otsego Local ,9811,2136,290,73,1118,122,334,327
574,3905074,"Mohawk Local School District, Ohio",Mohawk Local ,5316,1128,18,39,548,121,311,272
575,3906190,"Adams County/Ohio Valley Local School District, Ohio",Adams County/Ohio Valley Local ,22234,3437,1466,229,1217,629,1056,1278
576,3906496,"College Corner Local School District, Ohio",College Corner Local ,561,127,37,7,26,12,37,29
577,3906568,"Gallia County Local School District, Ohio",Gallia County Local ,14616,2604,629,343,882,284,683,739
578,3906968,"East Guernsey Local School District, Ohio",East Guernsey Local ,7642,1243,413,103,489,182,386,254
579,3910000,"Findlay City School District, Ohio",Findlay City ,38241,7141,1913,257,3053,545,1449,1229
580,3910001,"Van Buren Local School District, Ohio",Van Buren Local ,6602,1221,307,43,1068,41,222,164
581,3910002,"Arcadia Local School District, Ohio",Arcadia Local ,2629,536,37,6,242,119,123,109
582,3910003,"Sidney City School District, Ohio",Sidney City ,23173,4733,711,213,1732,378,662,854
583,3910004,"Anna Local School District, Ohio",Anna Local ,5276,1474,29,33,739,38,126,140
584,3910005,"Jackson Center Local School District, Ohio",Jackson Center Local ,2318,437,30,10,219,53,74,96
585,3910006,"Salem City School District, Ohio",Salem City ,15440,2626,661,183,1107,306,723,740
586,3910007,"Leetonia Exempted Village School District, Ohio",Leetonia Exempted Village ,4617,762,174,56,278,67,245,257
587,3910008,"Crestline Exempted Village School District, Ohio",Crestline Exempted Village ,4862,864,177,89,270,137,216,301
588,3910009,"Shelby City School District, Ohio",Shelby City ,11982,2085,290,145,777,188,501,598
589,3910010,"Miami Trace Local School District, Ohio",Miami Trace Local ,14472,2608,465,147,1307,290,669,615
590,3910011,"Washington Court House City School District, Ohio",Washington Court House City ,12884,2165,745,126,669,236,505,504
591,3910012,"Mount Vernon City School District, Ohio",Mount Vernon City ,27319,4865,1220,245,1981,382,1094,986
592,3910013,"East Knox Local School District, Ohio",East Knox Local ,9871,1577,555,66,767,139,496,486
593,3910014,"Riverside Local School District (Geauga and Lake Counties), Ohio",Riverside Local ,35050,7349,766,169,5247,391,1054,1236
594,3910015,"Painesville City Local School District, Ohio",Painesville City Local ,15129,3221,1184,155,551,179,625,239
595,3910016,"Orange City School District, Ohio",Orange City ,13563,3207,241,143,3449,79,222,191
596,3910017,"Bedford City School District, Ohio",Bedford City ,28204,5053,1172,273,1745,475,1120,939
597,3910018,"Warren Local School District, Ohio",Warren Local ,14443,2710,252,160,1392,186,712,622
598,3910019,"Marietta City School District, Ohio",Marietta City ,20891,2936,1153,281,1555,604,867,878
599,3910020,"Clyde-Green Springs Exempted Village School District, Ohio",Clyde-Green Springs Exempted Village ,12147,2356,559,109,874,291,616,595
600,3910021,"Old Fort Local School District, Ohio",Old Fort Local ,3167,621,42,11,238,46,158,104
601,3910022,"Lincolnview Local School District, Ohio",Lincolnview Local ,3995,908,35,61,353,29,217,149
602,3910023,"Van Wert City School District, Ohio",Van Wert City ,13332,2858,502,221,787,239,700,636
603,3910024,"Upper Sandusky Exempted Village School District, Ohio",Upper Sandusky Exempted Village ,10298,2052,186,117,801,191,467,610
604,3910025,"Kenton City School District, Ohio",Kenton City ,11169,2211,515,114,723,324,580,395
605,3910026,"Clay Local School District, Ohio",Clay Local ,3228,591,121,98,247,33,150,173
606,3910027,"Portsmouth City School District, Ohio",Portsmouth City ,19378,2147,2359,301,773,600,716,781
607,3910028,"Rittman Exempted Village School District, Ohio",Rittman Exempted Village ,6890,1253,327,36,390,114,247,271
608,3910029,"Wadsworth City School District, Ohio",Wadsworth City ,27533,6305,496,178,3446,301,996,910
609,3910030,"Celina City School District, Ohio",Celina City ,17422,3645,395,132,1405,151,961,798
610,3910031,"Marion Local School District, Ohio",Marion Local ,3773,871,134,32,498,50,61,101
611,3910032,"Wooster City School District, Ohio",Wooster City ,26121,4377,933,177,2079,580,990,1086
612,3910033,"Northwestern Local School District (Ashland and Wayne Counties), Ohio",Northwestern Local ,7785,1823,227,54,533,114,320,320
613,3999997,"School District Not Defined, Ohio",,18,6,0,0,0,0,8,0
